time,d_delta_x,d_delta_y,d_delta_z,delta_x,delta_y,delta_z
4.86,0.0004934341318714175,0.002834947422645853,0.0023279013437258883,-0.10852551304773322,-0.026725085912626935,-0.026265658796338628
4.87,0.0005441914903117073,0.0026138382599457666,0.0034275312072018504,-0.1085200711328301,-0.026698947530027477,-0.02623138348426661
4.88,0.0005310701768986292,0.0025467527419047176,0.0033395098163638975,-0.10851476043106112,-0.02667348000260843,-0.02619798838610297
4.89,0.0005182652024979806,0.0024813868685791968,0.003253745152965712,-0.10850957777903614,-0.02664866613392264,-0.026165450934573314
4.9,0.00018112071410963937,0.0028319939999359722,0.003561336078564778,-0.10850776657189504,-0.02662034619392328,-0.026129837573787666
4.91,0.00017675357589957974,0.002759302248365167,0.0034698666373310094,-0.10850599903613604,-0.026592753171439627,-0.026095138907414356
4.92,0.00017249173300998288,0.0026884738349597648,0.0033807424694224653,-0.10850427411880595,-0.02656586843309003,-0.02606133148272013
4.93,-0.000739276303689751,0.0031921248126407925,0.0035108274487229973,-0.10851166688184284,-0.02653394718496362,-0.0260262232082329
4.94,-0.000721451048246613,0.0031101803890900975,0.0034206432147496496,-0.10851888139232531,-0.02650284538107272,-0.025992016776085404
4.95,-0.0007040556585257707,0.0030303363402882366,0.003332771657669223,-0.10852592194891057,-0.026472542017669836,-0.02595868905950871
4.96,-0.0006870797648691473,0.0029525389902452653,0.0032471536674531787,-0.10853279274655926,-0.026443016627767383,-0.02592621752283418
4.97,-0.0001755798917094653,0.0027707799797107024,0.0025054361269358505,-0.10853454854547635,-0.026415308827970278,-0.025901163161564822
4.98,-0.00017134640857124905,0.002699640866146269,0.0024410670315776206,-0.10853626200956207,-0.026388312419308814,-0.025876752491249044
4.99,-0.00016721500458632965,0.002630325810484599,0.0023783496861276704,-0.10853793415960793,-0.02636200916120397,-0.025852968994387767
5.0,0.00015382672586433666,-0.4902606166562292,-0.1253914602502002,-0.10853639589234929,-0.03126461532776626,-0.02710688359688977
5.01,0.009402776749890984,-0.507043242684423,-0.12537215914378885,-0.10844236812485038,-0.036335047754610494,-0.028360605188327656
5.0200000000000005,0.018428145237302795,-0.5251808928362138,-0.12537292095405794,-0.10825808667247735,-0.041586856682972635,-0.029614334397868234
5.03,0.026212650102394597,-0.5433010940017349,-0.12721277553138122,-0.10799596017145341,-0.047019867622989986,-0.030886462153182047
5.04,0.03482972372651899,-0.5635072961649449,-0.12720857763753374,-0.10764766293418822,-0.05265494058463943,-0.032158547929557385
5.05,0.04323656345478766,-0.5844813829312157,-0.12722264052865906,-0.10721529729964034,-0.05849975441395159,-0.033430774334843975
5.0600000000000005,0.05143755550303675,-0.606050599088717,-0.12725401510081677,-0.10670092174460998,-0.06456026040483875,-0.03470331448585214
5.07,0.059640419819537216,-0.6272446452293876,-0.10656060300941039,-0.1061045175464146,-0.07083270685713262,-0.03576892051594625
5.08,0.06743745050388789,-0.6495316221650806,-0.107149261023105,-0.10543014304137573,-0.07732802307878343,-0.03684041312617729
5.09,0.07504115046279136,-0.6719621253876051,-0.10773798915151224,-0.10467973153674781,-0.08404764433265949,-0.037917793017692415
5.1000000000000005,0.08145818820126854,-0.6933835831155181,-0.02881943063809339,-0.10386514965473513,-0.09098148016381467,-0.03820598732407335
5.11,0.08871090220425143,-0.7157502003777493,-0.03139830540130177,-0.10297804063269261,-0.09813898216759216,-0.03851997037808637
5.12,0.09578107805607278,-0.737923462318194,-0.033923238496426214,-0.10202022985213188,-0.1055182167907741,-0.03885920276305063
5.13,0.09597330966223322,-0.7561690764365545,0.09950375243461154,-0.10106049675550956,-0.11307990755513964,-0.03786416523870452
5.14,0.1028512518232641,-0.7777912137902658,0.09363943636824262,-0.10003198423727691,-0.1208578196930423,-0.036927770875022095
5.15,0.10955338263024522,-0.7940062903922771,0.08799957217601391,-0.09893645041097446,-0.12879788259696506,-0.036047775153261956
5.16,0.11608310103541283,-0.7750192918856955,0.08249021444661016,-0.09777561940062032,-0.13654807551582201,-0.035222873008795855
5.17,0.11365038715767628,-0.7565557265030753,-0.005785112983460308,-0.09663911552904356,-0.14411363278085276,-0.03528072413863046
5.18,0.12005851775696036,-0.7385956222513494,-0.002462748746841409,-0.09543853035147395,-0.15149958900336627,-0.03530535162609887
5.19,0.1262989991472264,-0.7211203448445902,0.0007863454370322098,-0.0941755403600017,-0.15871079245181216,-0.03529748817172855
5.2,0.12126854826581437,-0.7041124359657271,-0.08671488155529392,-0.09296285487734356,-0.16575191681146945,-0.036164636987281486
5.21,0.12745329003804323,-0.6875554808926161,-0.08144659320751892,-0.09168832197696312,-0.1726274716203956,-0.036979102919356674
5.22,0.13347348768619177,-0.67143399862391,-0.0763021563578225,-0.0903535871001012,-0.1793418116066347,-0.0377421244829349
5.23,0.1079006908659027,-0.655733349545534,-0.18483511134764094,-0.08927458019144217,-0.18589914510209005,-0.03959047559641131
5.24,0.11436715717708604,-0.6404396569829265,-0.17731049225433693,-0.08813090861967131,-0.19230354167191932,-0.04136358051895468
5.25,0.12066059291524237,-0.6255397398972836,-0.1699704737493867,-0.08692430269051889,-0.19855893907089217,-0.04306328525644855
5.26,0.12395693448750242,-0.6110210546360619,-0.1628096576787642,-0.08568473334564386,-0.2046691496172528,-0.04469138183323619
5.2700000000000005,0.10793099126303193,-0.5968716441219726,-0.22872771823780386,-0.08460542343301354,-0.2106378660584725,-0.04697865901561423
5.28,0.11433145293936028,-0.583080093214869,-0.22031911563113404,-0.08346210890361994,-0.2164686669906212,-0.04918185017192557
5.29,0.1154973092931022,-0.5696354892434281,-0.2121170084982229,-0.08230713581068891,-0.22216502188305548,-0.0513030202569078
5.3,0.10215850809537316,-0.5565273869029578,-0.2555982996907815,-0.08128555072973517,-0.22773029575208506,-0.05385900325381561
5.3100000000000005,0.10864558291412571,-0.5437457768690381,-0.2467418871372671,-0.08019909490059392,-0.23316775352077543,-0.05632642212518828
5.32,0.10750765910996313,-0.5312810575959906,-0.23809956138751756,-0.07912401830949428,-0.23848056409673535,-0.058707417739063454
5.33,0.06951119598963565,-0.5191240098629043,-0.26587612420360074,-0.07842890634959793,-0.24367180419536438,-0.06136617898109946
5.34,0.07674017445780379,-0.5072657737043321,-0.256996411514647,-0.07766150460501989,-0.2487444619324077,-0.06393614309624593
5.3500000000000005,0.08377173616716965,-0.49569782742229607,-0.24840378713078134,-0.0768237872433482,-0.25370144020663066,-0.06642018096755374
5.36,0.09060990926391993,-0.4844119684243001,-0.2400894144272939,-0.075917688150709,-0.25854555989087363,-0.06882107511182668
5.37,0.05550952606132836,-0.47340029567113373,-0.253487017374531,-0.07536259289009571,-0.26327956284758497,-0.07135594528557199
5.38,0.06299921869717626,-0.4626551935502715,-0.2448597709842128,-0.07473260070312394,-0.2679061147830877,-0.07380454299541411
5.39,0.07028281162256333,-0.4521693170170905,-0.2364947322541242,-0.07402977258689832,-0.2724278079532586,-0.07616949031795535
5.4,0.04368489343797449,-0.44193557786804794,-0.2408127953136311,-0.07359292365251857,-0.27684716373193907,-0.07857761827109166
5.41,0.06395525221720375,-0.4319471320282753,-0.23250496154406766,-0.07295337113034653,-0.28116663505222184,-0.08090266788653235
5.42,0.08399683440925307,-0.42219736775141725,-0.2244467372326894,-0.072113402786254,-0.285388608729736,-0.08314713525885924
5.43,0.026852858559967663,-0.27260237799374054,-0.2118654199902779,-0.07184487420065433,-0.2881146325096734,-0.08526578945876201
5.44,0.048342156394099,-0.26336350524869345,-0.2042870333162389,-0.07136145263671334,-0.2907482675621603,-0.0873086597919244
5.45,0.06956078458539819,-0.2542690186850859,-0.19693613419690525,-0.07066584479085936,-0.2932909577490112,-0.08927802113389345
5.46,0.09050973397298728,-0.24531535517605074,-0.18980725224527495,-0.06976074745112948,-0.2957441113007717,-0.0911760936563462
5.47,0.04160824057464754,-0.11259397427943318,-0.17756448882112108,-0.069344665045383,-0.29687005104356606,-0.0929517385445574
5.48,0.06375257978832269,-0.10669320128019211,-0.17096803039264907,-0.06870713924749977,-0.297936983056368,-0.09466141884848389
5.49,0.08558768368974684,-0.10085813418913614,-0.16457542960989074,-0.0678512624106023,-0.29894556439825937,-0.0963071731445828
